x_mm,y_mm,material,circuit,turns,magdir_deg,note
106.0,0.0,Steel,,,,stator yoke (lamination BH curve)
40.185,0.0,Steel,,,,rotor core (lamination BH curve)
80.15,0.0,Air,,,,air gap
11.25,0.0,Air,,,,shaft bore (non-magnetic in EM, or assign shaft steel)
90.5,0.0,Copper,A,8,,slot 0 (8 bars)
89.888,10.506,Copper,A,8,,slot 1 (8 bars)
88.061,20.871,Copper,A,8,,slot 2 (8 bars)
85.042,30.953,Copper,C,-8,,slot 3 (8 bars)
80.874,40.616,Copper,C,-8,,slot 4 (8 bars)
75.612,49.731,Copper,C,-8,,slot 5 (8 bars)
69.327,58.172,Copper,B,8,,slot 6 (8 bars)
62.105,65.827,Copper,B,8,,slot 7 (8 bars)
54.043,72.592,Copper,B,8,,slot 8 (8 bars)
45.25,78.375,Copper,A,-8,,slot 9 (8 bars)
35.845,83.099,Copper,A,-8,,slot 10 (8 bars)
25.956,86.698,Copper,A,-8,,slot 11 (8 bars)
15.715,89.125,Copper,C,8,,slot 12 (8 bars)
5.262,90.347,Copper,C,8,,slot 13 (8 bars)
-5.262,90.347,Copper,C,8,,slot 14 (8 bars)
-15.715,89.125,Copper,B,-8,,slot 15 (8 bars)
-25.956,86.698,Copper,B,-8,,slot 16 (8 bars)
-35.845,83.099,Copper,B,-8,,slot 17 (8 bars)
-45.25,78.375,Copper,A,8,,slot 18 (8 bars)
-54.043,72.592,Copper,A,8,,slot 19 (8 bars)
-62.105,65.827,Copper,A,8,,slot 20 (8 bars)
-69.327,58.172,Copper,C,-8,,slot 21 (8 bars)
-75.612,49.731,Copper,C,-8,,slot 22 (8 bars)
-80.874,40.616,Copper,C,-8,,slot 23 (8 bars)
-85.042,30.953,Copper,B,8,,slot 24 (8 bars)
-88.061,20.871,Copper,B,8,,slot 25 (8 bars)
-89.888,10.506,Copper,B,8,,slot 26 (8 bars)
-90.5,0.0,Copper,A,-8,,slot 27 (8 bars)
-89.888,-10.506,Copper,A,-8,,slot 28 (8 bars)
-88.061,-20.871,Copper,A,-8,,slot 29 (8 bars)
-85.042,-30.953,Copper,C,8,,slot 30 (8 bars)
-80.874,-40.616,Copper,C,8,,slot 31 (8 bars)
-75.612,-49.731,Copper,C,8,,slot 32 (8 bars)
-69.327,-58.172,Copper,B,-8,,slot 33 (8 bars)
-62.105,-65.827,Copper,B,-8,,slot 34 (8 bars)
-54.043,-72.592,Copper,B,-8,,slot 35 (8 bars)
-45.25,-78.375,Copper,A,8,,slot 36 (8 bars)
-35.845,-83.099,Copper,A,8,,slot 37 (8 bars)
-25.956,-86.698,Copper,A,8,,slot 38 (8 bars)
-15.715,-89.125,Copper,C,-8,,slot 39 (8 bars)
-5.262,-90.347,Copper,C,-8,,slot 40 (8 bars)
5.262,-90.347,Copper,C,-8,,slot 41 (8 bars)
15.715,-89.125,Copper,B,8,,slot 42 (8 bars)
25.956,-86.698,Copper,B,8,,slot 43 (8 bars)
35.845,-83.099,Copper,B,8,,slot 44 (8 bars)
45.25,-78.375,Copper,A,-8,,slot 45 (8 bars)
54.043,-72.592,Copper,A,-8,,slot 46 (8 bars)
62.105,-65.827,Copper,A,-8,,slot 47 (8 bars)
69.327,-58.172,Copper,C,8,,slot 48 (8 bars)
75.612,-49.731,Copper,C,8,,slot 49 (8 bars)
80.874,-40.616,Copper,C,8,,slot 50 (8 bars)
85.042,-30.953,Copper,B,-8,,slot 51 (8 bars)
88.061,-20.871,Copper,B,-8,,slot 52 (8 bars)
89.888,-10.506,Copper,B,-8,,slot 53 (8 bars)
64.322,15.648,NdFeB,,,342.5,pole 0 +Y arm (N)
64.322,-15.648,NdFeB,,,17.5,pole 0 -Y arm (N)
18.609,63.528,NdFeB,,,222.5,pole 1 +Y arm (S)
45.713,47.88,NdFeB,,,257.5,pole 1 -Y arm (S)
-45.713,47.88,NdFeB,,,102.5,pole 2 +Y arm (N)
-18.609,63.528,NdFeB,,,137.5,pole 2 -Y arm (N)
-64.322,-15.648,NdFeB,,,342.5,pole 3 +Y arm (S)
-64.322,15.648,NdFeB,,,17.5,pole 3 -Y arm (S)
-18.609,-63.528,NdFeB,,,222.5,pole 4 +Y arm (N)
-45.713,-47.88,NdFeB,,,257.5,pole 4 -Y arm (N)
45.713,-47.88,NdFeB,,,102.5,pole 5 +Y arm (S)
18.609,-63.528,NdFeB,,,137.5,pole 5 -Y arm (S)
